edition_id,edition,year,city,country,isHeld
1,Summer Olympics,1896,Athina,Greece,
2,Summer Olympics,1900,Paris,France,
3,Summer Olympics,1904,St. Louis,United States,
5,Summer Olympics,1908,London,Great Britain,
6,Summer Olympics,1912,Stockholm,Sweden,
7,Summer Olympics,1920,Antwerpen,Belgium,
8,Summer Olympics,1924,Paris,France,
9,Summer Olympics,1928,Amsterdam,Netherlands,
10,Summer Olympics,1932,Los Angeles,United States,
11,Summer Olympics,1936,Berlin,Germany,
12,Summer Olympics,1948,London,Great Britain,
13,Summer Olympics,1952,Helsinki,Finland,
14,Summer Olympics,1956,Melbourne,Australia,
15,Summer Olympics,1960,Roma,Italy,
16,Summer Olympics,1964,Tokyo,Japan,
17,Summer Olympics,1968,Ciudad de México,Mexico,
18,Summer Olympics,1972,München,West Germany,
19,Summer Olympics,1976,Montréal,Canada,
20,Summer Olympics,1980,Moskva,Soviet Union,
21,Summer Olympics,1984,Los Angeles,United States,
22,Summer Olympics,1988,Seoul,Republic of Korea,
23,Summer Olympics,1992,Barcelona,Spain,
24,Summer Olympics,1996,Atlanta,United States,
25,Summer Olympics,2000,Sydney,Australia,
26,Summer Olympics,2004,Athina,Greece,
29,Winter Olympics,1924,Chamonix,France,
30,Winter Olympics,1928,Sankt Moritz,Switzerland,
31,Winter Olympics,1932,Lake Placid,United States,
32,Winter Olympics,1936,Garmisch-Partenkirchen,Germany,
33,Winter Olympics,1948,Sankt Moritz,Switzerland,
34,Winter Olympics,1952,Oslo,Norway,
35,Winter Olympics,1956,Cortina d'Ampezzo,Italy,
36,Winter Olympics,1960,Squaw Valley,United States,
37,Winter Olympics,1964,Innsbruck,Austria,
38,Winter Olympics,1968,Grenoble,France,
39,Winter Olympics,1972,Sapporo,Japan,
40,Winter Olympics,1976,Innsbruck,Austria,
41,Winter Olympics,1980,Lake Placid,United States,
42,Winter Olympics,1984,Sarajevo,Yugoslavia,
43,Winter Olympics,1988,Calgary,Canada,
44,Winter Olympics,1992,Albertville,France,
45,Winter Olympics,1994,Lillehammer,Norway,
46,Winter Olympics,1998,Nagano,Japan,
47,Winter Olympics,2002,Salt Lake City,United States,
49,Winter Olympics,2006,Torino,Italy,
50,Summer Olympics,1916,Berlin,Germany,Not held due to war
51,Summer Olympics,1940,Helsinki,Finland,Not held due to war
52,Summer Olympics,1944,London,Great Britain,Not held due to war
53,Summer Olympics,2008,Beijing,People's Republic of China,
54,Summer Olympics,2012,London,Great Britain,
55,Winter Olympics,1940,Garmisch-Partenkirchen,Germany,Not held due to war
56,Winter Olympics,1944,Cortina d'Ampezzo,Italy,Not held due to war
57,Winter Olympics,2010,Vancouver,Canada,
58,Winter Olympics,2014,Sochi,Russian Federation,
59,Summer Olympics,2016,Rio de Janeiro,Brazil,
60,Winter Olympics,2018,PyeongChang,Republic of Korea,
61,Summer Olympics,2020,Tokyo,Japan,
62,Winter Olympics,2022,Beijing,People's Republic of China,
63,Summer Olympics,2024,Paris,France,
48,Equestrian,1956,Stockholm,Sweden,
4,Intercalated,1906,Athina,Greece,
